id,event_type,event_id,risk_score,severity,reasoning,recommended_action,analyzed_at
11,firewall,2,20,low,"Unusual port 6697 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.066781"
12,firewall,1,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.068694"
13,firewall,4,20,low,"Unusual port 31337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.070223"
14,firewall,3,20,low,"Unusual port 1337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.072431"
15,firewall,6,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.08024"
16,firewall,5,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.082057"
17,firewall,8,20,low,"Unusual port 1337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.074154"
18,firewall,7,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.086933"
19,firewall,9,20,low,"Unusual port 1337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.095118"
20,firewall,10,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.09634"
21,firewall,12,20,low,"Unusual port 31337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.099253"
22,firewall,11,20,low,"Unusual port 6697 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.105239"
23,firewall,14,20,low,"Unusual port 6667 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.109627"
24,firewall,13,20,low,"Unusual port 6697 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.115535"
25,firewall,16,20,low,"Unusual port 6667 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.121379"
26,firewall,15,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.127261"
27,firewall,17,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.131821"
28,firewall,18,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.136491"
29,firewall,19,20,low,"Unusual port 4444 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.13961"
30,firewall,20,20,low,"Unusual port 31337 detected (+20)","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.145519"
31,firewall,21,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.151871"
32,firewall,22,0,low,"Normal firewall activity detected","Continue normal monitoring, maintain firewall logs for analysis","2025-11-20 05:49:11.154702"
33,firewall,23,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.15785"
34,firewall,24,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.161679"
35,firewall,25,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.165767"
36,firewall,26,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.168635"
37,firewall,27,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.173775"
38,firewall,28,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.17791"
39,firewall,29,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.18168"
40,firewall,30,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.185571"
41,firewall,31,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.1903"
46,firewall,36,55,high,"Repeated connection attempts/denials detected (+20); Port scanning activity detected (+35)","Block suspicious IP, investigate destination systems, review firewall rules","2025-11-20 05:49:11.215279"
50,patch,2,0,low,"System patch level acceptable","Continue normal patch management schedule, maintain update monitoring","2025-11-20 05:49:11.27152"
